08/11/24 16:04:26,Beautysané,Tâche,Faire une liste de nom 5 noms,1
08/11/24 16:04:27,Beautysané,Tâche,Appeler,2
08/11/24 16:04:27,Beautysané,Tâche,Appeler les recommandations de ses clients,2
08/11/24 16:04:28,Beautysané,Tâche,Caler une date de rdv,2
08/11/24 16:04:29,Beautysané,Tâche,Amener une dégustation,2
08/11/24 16:04:30,Beautysané,Tâche,Vente faite,5
08/11/24 16:04:30,Beautysané,Tâche,Appeler,2
08/11/24 16:04:31,Beautysané,Tâche,Appeler,2
08/11/24 16:04:31,Beautysané,Tâche,Appeler,2
08/11/24 16:04:36,Beautysané,Tâche,Faire une liste de nom 5 noms,1
08/11/24 16:04:36,Beautysané,Tâche,Appeler,2
08/11/24 16:04:37,Beautysané,Tâche,Appeler,2
08/11/24 16:04:37,Beautysané,Tâche,Appeler,2
08/11/24 16:04:37,Beautysané,Tâche,Appeler,2
08/11/24 16:04:37,Beautysané,Tâche,Appeler,2
08/11/24 16:04:38,Beautysané,Tâche,Caler une date de rdv,2
08/11/24 16:04:39,Beautysané,Tâche,Créer une fiche,1
08/11/24 16:04:40,Beautysané,Tâche,Vente faite,5
08/11/24 16:04:44,Beautysané,Récompense,jours de repos,20
08/11/24 16:08:58,Beautysané,Tâche,Faire une liste de nom 5 noms,1
08/11/24 16:08:59,Beautysané,Tâche,Créer une fiche,1
08/11/24 16:09:00,Beautysané,Tâche,Caler une date de rdv,2
08/11/24 16:09:01,Beautysané,Tâche,Appeler,2
